Episode,Tactual,Tension,EnemyCount
0,"3.485214, 4.138467","82.57393, 79.30766","1, 0"
1,"4.100946, 0.997983","79.49527, 95.01009","3, 2"
2,"6.506181, 0.2811584, 4.299425","67.46909, 98.59421, 78.50288","2, 1, 0"
3,"6.420542, 6.580132","67.89729, 67.09934","2, 1"
4,"4.992123, 5.981953, 1.01667","75.03938, 70.09024, 94.91665","2, 1, 0"
5,"5.881439, 1.001438","70.5928, 94.99281","3, 2"
6,"9.40646, 1.682564","52.9677, 91.58718","2, 1"
7,"7.219742, 0.2590637","63.90129, 91.58718","1, 0"
8,"4.701225, 1.260811","76.49387, 93.69595","3, 2"
9,"3.246979, 1.059982","83.76511, 94.70009","3, 2"
10,"3.249481, 1.779755","83.75259, 91.10123","2, 1"
11,"4.450188, 3.298935","77.74906, 83.50533","1, 0"
12,5.2015,73.9925,2
13,"1.170425, 3.298996, 3.439362","94.14787, 83.50502, 82.80319","2, 1, 0"
14,"4.460892, 3.679825","77.69554, 81.60088","1, 0"
15,4.683197,76.58401,3
16,"10.21416, 2.198868","48.92921, 89.00566","1, 0"
17,5.957443,70.21278,1
18,"2.212524, 2.899826","88.93738, 85.50087","1, 0"
19,"2.670639, 1.700241, 4.401566","86.6468, 91.49879, 77.99217","2, 1, 0"
20,"2.479691, 1.317612","87.60155, 93.41194","1, 0"
21,"6.441299, 2.059814, 0.5198364","67.7935, 89.70093, 97.40082","3, 2, 1"
22,"4.653595, 1.258957","76.73203, 93.70522","1, 0"
23,"3.460114, 7.340408, 4.144348","82.69943, 63.29796, 79.27826","2, 1, 0"
24,"3.914841, 2.500351, 0.8812256","80.4258, 87.49825, 95.59387","2, 1, 0"
25,"4.618896, 2.680038, 2.601181","76.90552, 86.59981, 86.99409","3, 2, 1"
26,"10.01245, 3.999023","49.93774, 80.00488","1, 0"
27,"4.598724, 2.220032, 1.90097","77.00638, 88.89984, 90.49515","2, 1, 0"
28,"2.198242, 3.882111, 0.3003845","89.00879, 80.58945, 98.49808","3, 2, 1"
29,"3.285187, 0.7992249, 3.940887","83.57407, 96.00388, 80.29556","2, 1, 0"
30,"5.941071, 1.919159, 4.939331","70.29465, 90.40421, 75.30334","2, 1, 0"
31,"1.4599, 3.120819","92.7005, 84.3959","3, 2"
32,"4.958191, 6.580811","75.20905, 67.09595","1, 0"
33,"3.25943, 2.540039, 0.7799683","83.70285, 87.2998, 96.10016","2, 1, 0"
34,"3.667969, 0.5212402, 0.2606812, 0.9182739","81.66016, 97.3938, 98.69659, 95.40863","3, 2, 1, 0"
35,4.500214,77.49893,2
36,"2.700867, 0.5203857, 1.739502","86.49567, 97.39807, 91.30249","2, 1, 0"
37,"1.200287, 2.199951","93.99857, 89.00024","1, 0"
38,5.401001,72.995,0
39,"15.17938, 1.421051, 1.979492","24.10309, 92.89474, 90.10254, ","2, 1, 0"
40,"10.27246, 6.39844","48.74573, 67.88302","1, 0"
