Episode,Tactual,Tension,EnemyCount
0,"3.224279, 0.5206614, 1.879646","83.8786, 97.39669, 90.60177","3, 2, 1"
1,5.124868,74.37566,2
2,"3.995486, 1.13975, 6.340986","80.02257, 94.30125, 68.29507","3, 2, 1"
3,"4.193657, 1.399498, 1.483944","79.03172, 93.00251, 92.58028","2, 1, 0"
4,"2.117184, 1.741997","89.41408, 91.29002","2, 1"
5,"3.216763, 1.199383","83.91618, 94.00308","1, 0"
6,"5.101601, 0.2599335, 1.821159","74.492, 98.70033, 90.8942","2, 1, 0"
7,1.317368,93.41316,1
8,"1.216499, 1.800728, 2.778664","93.9175, 90.99636, 86.10668","2, 1, 0"
9,"3.021324, 6.380974","84.89338, 68.09513","1, 0"
